permission_count,dangerous_permission_count,sms_permission,accessibility_permission,overlay_permission,install_permission,location_permission,camera_permission,microphone_permission,contacts_permission,phone_permission,sms_api,accessibility_api,dynamic_code_loading,runtime_execution,process_builder,overlay_api,sms_behavior,accessibility_behavior,overlay_behavior,dynamic_execution_behavior,activity_count,service_count,receiver_count,provider_count,label
56,2,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,393,48,29,23,benign
56,2,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,393,48,29,23,benign
28,3,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,25,16,16,4,benign
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,2,benign
17,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,3,7,10,3,benign
